Simulation time (in s),avgServedBlocksDl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by Enb in downlink with total reource blocks=50.,Simulation time (in sec),avgServedBlocksDl-SingleCell_withSecondaryGnb-secondarygnb #comment:- Number of resource block (values in blocks) by gnb in downlink with total reource blocks=50.
0.434,2,0.434,2
0.435,1,0.435,1
0.436,1,0.436,1
0.437,1,0.437,0
0.438,0,0.438,0
0.439,1,0.439,1
0.44,2,0.44,0
0.441,0,0.441,1
0.442,0,0.442,0
0.443,0,0.443,0
0.444,0,0.444,0
0.445,0,0.445,1
0.446,0,0.446,0
0.447,0,0.447,0
0.448,0,0.448,0
0.449,0,0.449,0
0.45,0,0.45,0
0.451,1,0.451,0
0.452,0,0.452,3
0.453,1,0.453,2
0.454,2,0.454,2
0.455,1,0.455,1
0.456,1,0.456,1
0.457,1,0.457,0
0.458,0,0.458,0
0.459,1,0.459,1
0.46,2,0.46,0
0.461,0,0.461,1
0.462,0,0.462,0
0.463,0,0.463,0
0.464,0,0.464,0
0.465,0,0.465,1
0.466,0,0.466,0
0.467,0,0.467,0
0.468,0,0.468,0
0.469,0,0.469,0
0.47,0,0.47,0
0.471,1,0.471,0
0.472,0,0.472,3
0.473,1,0.473,2
0.474,2,0.474,2
0.475,1,0.475,1
0.476,1,0.476,1
0.477,1,0.477,0
0.478,0,0.478,1
0.479,1,0.479,1
0.48,2,0.48,0
0.481,0,0.481,1
0.482,0,0.482,0
0.483,0,0.483,0
0.484,0,0.484,0
0.485,0,0.485,1
0.486,0,0.486,0
0.487,0,0.487,0
0.488,0,0.488,0
0.489,0,0.489,0
0.49,0,0.49,0
0.491,1,0.491,0
0.492,0,0.492,3
0.493,1,0.493,2
0.494,2,0.494,2
0.495,1,0.495,1
0.496,1,0.496,1
0.497,1,0.497,0
0.498,0,0.498,0
0.499,1,0.499,1
0.5,2,0.5,0
0.501,0,0.501,1
0.502,0,0.502,0
0.503,0,0.503,0
0.504,0,0.504,0
0.505,0,0.505,0
0.506,0,0.506,0
0.507,0,0.507,0
0.508,0,0.508,0
0.509,0,0.509,0
0.51,0,0.51,0
0.511,1,0.511,0
0.512,0,0.512,3
0.513,1,0.513,2
0.514,2,0.514,2
0.515,1,0.515,1
0.516,1,0.516,1
0.517,1,0.517,0
0.518,0,0.518,0
0.519,1,0.519,1
0.52,3,0.52,0
0.521,1,0.521,1
0.522,0,0.522,0
0.523,0,0.523,0
0.524,0,0.524,0
0.525,0,0.525,1
0.526,0,0.526,0
0.527,0,0.527,0
0.528,0,0.528,0
0.529,0,0.529,0
0.53,0,0.53,0
0.531,1,0.531,0
0.532,0,0.532,3
0.533,1,0.533,2
0.534,2,0.534,2
0.535,1,0.535,1
0.536,1,0.536,1
0.537,1,0.537,0
0.538,0,0.538,0
0.539,1,0.539,1
0.54,3,0.54,0
0.541,0,0.541,1
0.542,0,0.542,0
0.543,0,0.543,0
0.544,0,0.544,0
0.545,0,0.545,1
0.546,0,0.546,0
0.547,0,0.547,0
0.548,0,0.548,0
0.549,0,0.549,0
0.55,0,0.55,0
0.551,1,0.551,0
0.552,0,0.552,3
0.553,1,0.553,2
0.554,2,0.554,2
0.555,1,0.555,1
0.556,1,0.556,1
0.557,1,0.557,0
0.558,0,0.558,0
0.559,1,0.559,1
0.56,3,0.56,0
0.561,0,0.561,1
0.562,0,0.562,0
0.563,0,0.563,0
0.564,0,0.564,0
0.565,0,0.565,0
0.566,0,0.566,0
0.567,0,0.567,0
0.568,0,0.568,0
0.569,0,0.569,0
0.57,0,0.57,0
0.571,1,0.571,0
0.572,0,0.572,3
0.573,1,0.573,2
0.574,2,0.574,2
0.575,1,0.575,1
0.576,1,0.576,1
0.577,1,0.577,0
0.578,0,0.578,0
0.579,1,0.579,2
0.58,3,0.58,0
0.581,0,0.581,0
0.582,0,0.582,0
0.583,0,0.583,0
0.584,0,0.584,0
0.585,0,0.585,1
0.586,0,0.586,0
0.587,0,0.587,0
0.588,0,0.588,0
0.589,0,0.589,0
0.59,0,0.59,0
0.591,1,0.591,0
0.592,0,0.592,3
0.593,1,0.593,2
0.594,2,0.594,2
0.595,1,0.595,1
0.596,1,0.596,1
0.597,1,0.597,0
0.598,0,0.598,0
0.599,1,0.599,1
0.6,3,0.6,0
0.601,1,0.601,1
0.602,0,0.602,0
0.603,0,0.603,0
0.604,0,0.604,0
0.605,0,0.605,1
0.606,1,0.606,0
0.607,1,0.607,0
0.608,0,0.608,0
0.609,0,0.609,0
0.61,0,0.61,0
0.611,1,0.611,0
0.612,0,0.612,3
0.613,1,0.613,2
0.614,2,0.614,2
0.615,1,0.615,1
0.616,1,0.616,1
0.617,1,0.617,0
0.618,0,0.618,0
0.619,1,0.619,2
0.62,3,0.62,0
0.621,0,0.621,0
0.622,0,0.622,0
0.623,0,0.623,0
0.624,0,0.624,0
0.625,0,0.625,1
0.626,0,0.626,0
0.627,0,0.627,0
0.628,0,0.628,0
0.629,0,0.629,0
0.63,0,0.63,0
0.631,1,0.631,0
0.632,0,0.632,3
0.633,1,0.633,2
0.634,2,0.634,2
0.635,1,0.635,1
0.636,1,0.636,1
0.637,1,0.637,0
0.638,0,0.638,0
0.639,1,0.639,1
0.64,3,0.64,0
0.641,0,0.641,1
0.642,0,0.642,0
0.643,0,0.643,0
0.644,0,0.644,0
0.645,0,0.645,0
0.646,0,0.646,0
0.647,0,0.647,0
