Simulation time (in s),avgServedBlocksDl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by Enb in downlink with total reource blocks=50.,Simulation time (in sec),avgServedBlocksDl-SingleCell_withSecondaryGnb-secondarygnb #comment:- Number of resource block (values in blocks) by gnb in downlink with total reource blocks=50.
40.053,2,40.053,2
40.054,2,40.054,2
40.055,1,40.055,1
40.056,1,40.056,1
40.057,1,40.057,0
40.058,0,40.058,0
40.059,1,40.059,1
40.06,2,40.06,0
40.061,0,40.061,0
40.062,0,40.062,0
40.063,0,40.063,0
40.064,0,40.064,0
40.065,0,40.065,0
40.066,0,40.066,0
40.067,0,40.067,0
40.068,0,40.068,0
40.069,0,40.069,0
40.07,0,40.07,0
40.071,1,40.071,0
40.072,0,40.072,3
40.073,2,40.073,2
40.074,2,40.074,2
40.075,1,40.075,1
40.076,1,40.076,1
40.077,1,40.077,0
40.078,0,40.078,0
40.079,1,40.079,1
40.08,3,40.08,0
40.081,0,40.081,0
40.082,0,40.082,0
40.083,0,40.083,0
40.084,0,40.084,0
40.085,0,40.085,0
40.086,0,40.086,0
40.087,0,40.087,0
40.088,0,40.088,0
40.089,0,40.089,0
40.09,0,40.09,0
40.091,1,40.091,0
40.092,0,40.092,3
40.093,2,40.093,2
40.094,2,40.094,2
40.095,1,40.095,1
40.096,1,40.096,1
40.097,1,40.097,0
40.098,0,40.098,0
40.099,1,40.099,1
40.1,2,40.1,1
40.101,0,40.101,0
40.102,0,40.102,1
40.103,0,40.103,0
40.104,0,40.104,0
40.105,0,40.105,0
40.106,0,40.106,0
40.107,0,40.107,0
40.108,0,40.108,0
40.109,0,40.109,0
40.11,0,40.11,0
40.111,1,40.111,0
40.112,0,40.112,3
40.113,2,40.113,2
40.114,2,40.114,2
40.115,1,40.115,1
40.116,1,40.116,1
40.117,1,40.117,0
40.118,0,40.118,0
40.119,1,40.119,1
40.12,2,40.12,0
40.121,0,40.121,0
40.122,0,40.122,0
40.123,0,40.123,0
40.124,0,40.124,0
40.125,0,40.125,0
40.126,0,40.126,0
40.127,0,40.127,0
40.128,0,40.128,0
40.129,0,40.129,0
40.13,0,40.13,0
40.131,1,40.131,0
40.132,0,40.132,3
40.133,2,40.133,2
40.134,2,40.134,2
40.135,1,40.135,1
40.136,1,40.136,1
40.137,1,40.137,0
40.138,0,40.138,0
40.139,1,40.139,1
40.14,2,40.14,0
40.141,0,40.141,0
40.142,0,40.142,0
40.143,0,40.143,0
40.144,0,40.144,0
40.145,0,40.145,0
40.146,0,40.146,0
40.147,0,40.147,0
40.148,0,40.148,0
40.149,0,40.149,0
40.15,0,40.15,0
40.151,1,40.151,0
40.152,0,40.152,3
40.153,2,40.153,2
40.154,2,40.154,2
40.155,1,40.155,1
40.156,1,40.156,1
40.157,1,40.157,0
40.158,0,40.158,0
40.159,1,40.159,1
40.16,2,40.16,0
40.161,0,40.161,0
40.162,0,40.162,0
40.163,0,40.163,0
40.164,0,40.164,0
40.165,0,40.165,0
40.166,0,40.166,0
40.167,0,40.167,0
40.168,0,40.168,0
40.169,0,40.169,0
40.17,0,40.17,0
40.171,1,40.171,0
40.172,0,40.172,3
40.173,2,40.173,2
40.174,2,40.174,2
40.175,1,40.175,1
40.176,1,40.176,1
40.177,1,40.177,0
40.178,0,40.178,0
40.179,1,40.179,1
40.18,2,40.18,1
40.181,0,40.181,0
40.182,0,40.182,0
40.183,0,40.183,0
40.184,0,40.184,0
40.185,0,40.185,0
40.186,0,40.186,0
40.187,0,40.187,0
40.188,0,40.188,0
40.189,0,40.189,0
40.19,0,40.19,0
40.191,1,40.191,0
40.192,0,40.192,3
40.193,2,40.193,2
40.194,2,40.194,2
40.195,1,40.195,1
40.196,1,40.196,1
40.197,1,40.197,0
40.198,0,40.198,0
40.199,1,40.199,1
40.2,2,40.2,0
40.201,0,40.201,0
40.202,0,40.202,0
40.203,0,40.203,0
40.204,0,40.204,0
40.205,0,40.205,0
40.206,0,40.206,0
40.207,0,40.207,0
40.208,0,40.208,0
40.209,0,40.209,0
40.21,0,40.21,0
40.211,1,40.211,0
40.212,0,40.212,3
40.213,2,40.213,2
40.214,2,40.214,2
40.215,1,40.215,1
40.216,1,40.216,1
40.217,1,40.217,0
40.218,0,40.218,0
40.219,1,40.219,1
40.22,2,40.22,0
40.221,0,40.221,0
40.222,0,40.222,0
40.223,0,40.223,0
40.224,0,40.224,0
40.225,0,40.225,0
40.226,0,40.226,0
40.227,0,40.227,0
40.228,0,40.228,0
40.229,0,40.229,0
40.23,0,40.23,0
40.231,1,40.231,0
40.232,0,40.232,3
40.233,2,40.233,2
40.234,2,40.234,2
40.235,1,40.235,1
40.236,1,40.236,1
40.237,1,40.237,0
40.238,0,40.238,0
40.239,1,40.239,1
40.24,2,40.24,0
40.241,0,40.241,0
40.242,0,40.242,0
40.243,0,40.243,0
40.244,0,40.244,0
40.245,0,40.245,0
40.246,0,40.246,0
40.247,0,40.247,0
40.248,0,40.248,0
40.249,0,40.249,0
40.25,0,40.25,0
40.251,1,40.251,0
40.252,0,40.252,3
40.253,2,40.253,2
40.254,2,40.254,2
40.255,1,40.255,1
40.256,1,40.256,1
40.257,1,40.257,0
40.258,0,40.258,0
40.259,1,40.259,1
40.26,2,40.26,0
40.261,0,40.261,0
40.262,0,40.262,0
40.263,0,40.263,0
40.264,0,40.264,0
40.265,0,40.265,0
40.266,0,40.266,0
40.267,0,40.267,0
40.268,0,40.268,0
40.269,0,40.269,0
40.27,0,40.27,0
40.271,1,40.271,0
40.272,0,40.272,3
40.273,2,40.273,2
40.274,2,40.274,2
40.275,1,40.275,1
40.276,1,40.276,1
40.277,1,40.277,0
40.278,0,40.278,0
40.279,1,40.279,1
40.28,2,40.28,0
40.281,0,40.281,0
40.282,0,40.282,0
40.283,0,40.283,0
40.284,0,40.284,0
40.285,0,40.285,0
40.286,0,40.286,0
40.287,0,40.287,0
40.288,0,40.288,0
40.289,0,40.289,0
40.29,0,40.29,0
40.291,1,40.291,0
40.292,0,40.292,3
40.293,2,40.293,2
40.294,2,40.294,2
40.295,1,40.295,1
40.296,1,40.296,1
40.297,1,40.297,0
40.298,0,40.298,0
40.299,1,40.299,1
40.3,2,40.3,0
40.301,0,40.301,0
40.302,0,40.302,1
40.303,0,40.303,0
40.304,0,40.304,0
40.305,0,40.305,0
40.306,0,40.306,0
40.307,0,40.307,0
40.308,0,40.308,0
40.309,0,40.309,0
40.31,0,40.31,0
40.311,1,40.311,0
40.312,0,40.312,3
40.313,2,40.313,2
40.314,2,40.314,2
40.315,1,40.315,1
40.316,1,40.316,1
40.317,1,40.317,0
40.318,0,40.318,0
40.319,1,40.319,1
40.32,2,40.32,0
40.321,0,40.321,0
40.322,0,40.322,0
40.323,0,40.323,0
40.324,0,40.324,0
40.325,0,40.325,0
40.326,0,40.326,0
40.327,0,40.327,0
40.328,0,40.328,0
40.329,0,40.329,0
40.33,0,40.33,0
40.331,1,40.331,0
40.332,0,40.332,3
40.333,2,40.333,2
40.334,2,40.334,2
40.335,1,40.335,1
40.336,1,40.336,1
40.337,1,40.337,0
40.338,0,40.338,0
40.339,1,40.339,1
40.34,2,40.34,1
40.341,0,40.341,0
40.342,0,40.342,0
40.343,0,40.343,0
40.344,0,40.344,0
40.345,0,40.345,0
40.346,0,40.346,0
40.347,0,40.347,0
40.348,0,40.348,0
40.349,0,40.349,0
40.35,0,40.35,0
40.351,1,40.351,0
40.352,0,40.352,3
40.353,2,40.353,2
40.354,2,40.354,2
40.355,1,40.355,1
40.356,1,40.356,1
40.357,1,40.357,0
40.358,0,40.358,0
40.359,1,40.359,1
40.36,2,40.36,0
40.361,0,40.361,0
40.362,0,40.362,0
40.363,0,40.363,0
40.364,0,40.364,0
40.365,0,40.365,0
40.366,0,40.366,0
40.367,0,40.367,0
40.368,0,40.368,0
40.369,0,40.369,0
40.37,0,40.37,0
40.371,1,40.371,0
40.372,0,40.372,3
40.373,2,40.373,2
40.374,2,40.374,2
40.375,1,40.375,1
40.376,1,40.376,1
40.377,1,40.377,0
40.378,0,40.378,0
40.379,1,40.379,1
40.38,2,40.38,0
40.381,0,40.381,0
40.382,0,40.382,0
40.383,0,40.383,0
40.384,0,40.384,0
40.385,0,40.385,0
40.386,0,40.386,0
40.387,0,40.387,0
40.388,0,40.388,0
40.389,0,40.389,0
40.39,0,40.39,0
40.391,1,40.391,0
40.392,0,40.392,3
40.393,2,40.393,2
40.394,2,40.394,2
40.395,1,40.395,1
40.396,1,40.396,1
40.397,1,40.397,0
40.398,0,40.398,0
40.399,1,40.399,1
40.4,2,40.4,0
40.401,0,40.401,0
40.402,0,40.402,1
40.403,0,40.403,0
40.404,0,40.404,0
40.405,0,40.405,0
40.406,0,40.406,0
40.407,0,40.407,0
40.408,0,40.408,0
40.409,0,40.409,0
40.41,0,40.41,0
40.411,1,40.411,0
40.412,0,40.412,3
40.413,2,40.413,2
40.414,2,40.414,2
40.415,1,40.415,1
40.416,1,40.416,1
40.417,1,40.417,0
40.418,0,40.418,0
40.419,1,40.419,1
40.42,2,40.42,0
40.421,0,40.421,0
40.422,0,40.422,0
40.423,0,40.423,0
40.424,0,40.424,0
40.425,0,40.425,0
40.426,0,40.426,0
40.427,0,40.427,0
40.428,0,40.428,0
40.429,0,40.429,0
40.43,0,40.43,0
40.431,1,40.431,0
40.432,0,40.432,3
40.433,2,40.433,2
40.434,2,40.434,2
40.435,1,40.435,1
40.436,1,40.436,1
40.437,1,40.437,0
40.438,0,40.438,0
40.439,1,40.439,1
40.44,2,40.44,0
40.441,0,40.441,0
40.442,0,40.442,0
40.443,0,40.443,0
40.444,0,40.444,0
40.445,0,40.445,0
40.446,0,40.446,0
40.447,0,40.447,0
40.448,0,40.448,0
40.449,0,40.449,0
40.45,0,40.45,0
40.451,1,40.451,0
40.452,0,40.452,3
40.453,2,40.453,2
40.454,2,40.454,2
40.455,1,40.455,1
40.456,1,40.456,1
40.457,1,40.457,0
40.458,0,40.458,0
40.459,1,40.459,1
40.46,2,40.46,1
40.461,0,40.461,0
40.462,0,40.462,0
40.463,0,40.463,0
40.464,0,40.464,0
40.465,0,40.465,0
40.466,0,40.466,0
40.467,0,40.467,0
40.468,0,40.468,0
40.469,0,40.469,0
40.47,0,40.47,0
40.471,1,40.471,0
40.472,0,40.472,3
40.473,2,40.473,2
40.474,2,40.474,2
40.475,1,40.475,1
40.476,1,40.476,1
40.477,1,40.477,0
40.478,0,40.478,0
40.479,1,40.479,1
40.48,2,40.48,0
40.481,0,40.481,0
40.482,0,40.482,0
40.483,0,40.483,0
40.484,0,40.484,0
40.485,0,40.485,0
40.486,0,40.486,0
40.487,0,40.487,0
40.488,0,40.488,0
40.489,0,40.489,0
40.49,0,40.49,0
40.491,1,40.491,0
40.492,0,40.492,3
40.493,2,40.493,2
40.494,2,40.494,2
40.495,1,40.495,1
40.496,1,40.496,1
40.497,1,40.497,0
40.498,0,40.498,0
40.499,1,40.499,1
40.5,2,40.5,0
40.501,0,40.501,0
40.502,0,40.502,0
40.503,0,40.503,0
40.504,0,40.504,0
40.505,0,40.505,0
40.506,0,40.506,0
40.507,0,40.507,0
40.508,0,40.508,0
40.509,0,40.509,0
40.51,0,40.51,0
40.511,1,40.511,0
40.512,0,40.512,3
40.513,2,40.513,2
40.514,2,40.514,2
40.515,1,40.515,1
40.516,1,40.516,1
40.517,1,40.517,0
40.518,0,40.518,0
40.519,1,40.519,1
40.52,2,40.52,0
40.521,0,40.521,0
40.522,0,40.522,0
40.523,0,40.523,0
40.524,0,40.524,0
40.525,0,40.525,0
40.526,0,40.526,0
40.527,0,40.527,0
40.528,0,40.528,0
40.529,0,40.529,0
40.53,0,40.53,0
40.531,1,40.531,0
40.532,0,40.532,3
40.533,1,40.533,2
40.534,2,40.534,2
40.535,1,40.535,1
40.536,1,40.536,1
40.537,1,40.537,0
40.538,0,40.538,0
40.539,1,40.539,1
40.54,2,40.54,0
40.541,0,40.541,0
40.542,1,40.542,0
40.543,0,40.543,0
40.544,0,40.544,0
40.545,0,40.545,0
40.546,0,40.546,0
40.547,0,40.547,0
40.548,0,40.548,0
40.549,0,40.549,0
40.55,0,40.55,0
40.551,1,40.551,0
40.552,0,40.552,3
40.553,2,40.553,2
40.554,2,40.554,2
40.555,1,40.555,1
40.556,1,40.556,1
40.557,1,40.557,0
40.558,0,40.558,0
40.559,1,40.559,1
40.56,2,40.56,0
40.561,0,40.561,0
40.562,0,40.562,0
40.563,0,40.563,0
40.564,0,40.564,0
40.565,0,40.565,0
40.566,0,40.566,0
40.567,0,40.567,0
40.568,0,40.568,0
40.569,0,40.569,0
40.57,0,40.57,0
40.571,1,40.571,0
40.572,0,40.572,3
40.573,2,40.573,2
40.574,2,40.574,2
40.575,1,40.575,1
40.576,1,40.576,1
40.577,1,40.577,0
40.578,0,40.578,0
40.579,1,40.579,1
40.58,2,40.58,1
40.581,0,40.581,0
40.582,0,40.582,0
40.583,0,40.583,0
40.584,0,40.584,0
40.585,0,40.585,0
40.586,0,40.586,0
40.587,0,40.587,0
40.588,0,40.588,0
40.589,0,40.589,0
40.59,0,40.59,0
40.591,1,40.591,0
40.592,0,40.592,3
40.593,2,40.593,2
40.594,2,40.594,2
40.595,1,40.595,1
40.596,1,40.596,1
40.597,1,40.597,0
40.598,0,40.598,0
40.599,1,40.599,1
40.6,2,40.6,0
40.601,0,40.601,0
40.602,0,40.602,0
40.603,0,40.603,0
40.604,0,40.604,0
40.605,0,40.605,0
40.606,0,40.606,0
40.607,0,40.607,0
40.608,0,40.608,0
40.609,0,40.609,0
40.61,0,40.61,0
40.611,1,40.611,0
40.612,0,40.612,3
40.613,2,40.613,2
40.614,2,40.614,2
40.615,1,40.615,1
40.616,1,40.616,1
40.617,1,40.617,0
40.618,0,40.618,0
40.619,2,40.619,1
40.62,2,40.62,0
40.621,0,40.621,0
40.622,0,40.622,0
40.623,0,40.623,0
40.624,0,40.624,0
40.625,0,40.625,0
40.626,0,40.626,0
40.627,0,40.627,0
40.628,0,40.628,0
40.629,0,40.629,0
40.63,0,40.63,0
40.631,1,40.631,0
40.632,0,40.632,3
40.633,2,40.633,2
40.634,2,40.634,2
40.635,1,40.635,1
40.636,1,40.636,1
40.637,1,40.637,0
40.638,0,40.638,0
40.639,1,40.639,1
40.64,2,40.64,0
40.641,0,40.641,0
40.642,0,40.642,0
40.643,0,40.643,0
40.644,0,40.644,0
40.645,0,40.645,0
40.646,0,40.646,0
40.647,0,40.647,0
40.648,0,40.648,0
40.649,0,40.649,0
40.65,0,40.65,0
40.651,1,40.651,0
40.652,0,40.652,3
40.653,2,40.653,2
40.654,2,40.654,2
40.655,1,40.655,1
40.656,1,40.656,1
40.657,1,40.657,0
40.658,0,40.658,0
40.659,1,40.659,1
40.66,2,40.66,1
40.661,0,40.661,0
40.662,0,40.662,0
40.663,0,40.663,0
40.664,0,40.664,0
40.665,0,40.665,0
40.666,0,40.666,0
40.667,0,40.667,0
40.668,0,40.668,0
40.669,0,40.669,0
40.67,0,40.67,0
40.671,1,40.671,0
40.672,0,40.672,3
40.673,2,40.673,2
40.674,2,40.674,2
40.675,1,40.675,1
40.676,1,40.676,1
40.677,1,40.677,0
40.678,0,40.678,0
40.679,1,40.679,1
40.68,3,40.68,0
40.681,0,40.681,0
40.682,0,40.682,1
40.683,0,40.683,0
40.684,0,40.684,0
40.685,0,40.685,0
40.686,0,40.686,0
40.687,0,40.687,0
40.688,0,40.688,0
40.689,0,40.689,0
40.69,0,40.69,0
40.691,1,40.691,0
40.692,0,40.692,3
40.693,2,40.693,2
40.694,2,40.694,2
40.695,1,40.695,1
40.696,1,40.696,1
40.697,1,40.697,0
40.698,0,40.698,0
40.699,1,40.699,1
40.7,2,40.7,0
40.701,0,40.701,0
40.702,0,40.702,0
40.703,0,40.703,0
40.704,0,40.704,0
40.705,0,40.705,0
40.706,0,40.706,0
40.707,0,40.707,0
40.708,0,40.708,0
40.709,0,40.709,0
40.71,0,40.71,0
40.711,1,40.711,0
40.712,0,40.712,3
40.713,2,40.713,2
40.714,2,40.714,2
40.715,1,40.715,1
40.716,1,40.716,1
40.717,1,40.717,0
40.718,0,40.718,0
40.719,1,40.719,1
40.72,2,40.72,0
40.721,0,40.721,0
40.722,0,40.722,1
40.723,0,40.723,0
40.724,0,40.724,0
40.725,0,40.725,0
40.726,0,40.726,0
40.727,0,40.727,0
40.728,0,40.728,0
40.729,0,40.729,0
40.73,0,40.73,0
40.731,1,40.731,0
40.732,0,40.732,3
40.733,2,40.733,2
40.734,2,40.734,2
40.735,1,40.735,1
40.736,1,40.736,1
40.737,1,40.737,0
40.738,0,40.738,0
40.739,1,40.739,1
40.74,2,40.74,0
40.741,0,40.741,0
40.742,0,40.742,0
40.743,0,40.743,0
40.744,0,40.744,0
40.745,0,40.745,0
40.746,0,40.746,0
40.747,0,40.747,0
40.748,0,40.748,0
40.749,0,40.749,0
40.75,0,40.75,0
40.751,1,40.751,0
40.752,0,40.752,3
40.753,2,40.753,2
40.754,2,40.754,2
40.755,1,40.755,1
40.756,1,40.756,1
40.757,1,40.757,0
40.758,0,40.758,0
40.759,1,40.759,1
40.76,2,40.76,1
40.761,0,40.761,0
40.762,0,40.762,0
40.763,0,40.763,0
40.764,0,40.764,0
40.765,0,40.765,0
40.766,0,40.766,0
40.767,0,40.767,0
40.768,0,40.768,0
40.769,0,40.769,0
40.77,0,40.77,0
40.771,1,40.771,0
40.772,0,40.772,3
40.773,2,40.773,2
40.774,3,40.774,2
40.775,1,40.775,1
40.776,1,40.776,1
40.777,1,40.777,0
40.778,0,40.778,0
40.779,1,40.779,1
40.78,2,40.78,0
40.781,0,40.781,0
40.782,1,40.782,1
40.783,0,40.783,0
40.784,0,40.784,0
40.785,0,40.785,0
40.786,0,40.786,0
40.787,0,40.787,0
40.788,0,40.788,0
40.789,0,40.789,0
40.79,0,40.79,0
40.791,1,40.791,0
40.792,0,40.792,3
40.793,2,40.793,2
40.794,2,40.794,2
40.795,1,40.795,1
40.796,1,40.796,1
40.797,1,40.797,0
40.798,0,40.798,0
40.799,1,40.799,1
40.8,2,40.8,1
40.801,0,40.801,0
40.802,0,40.802,0
40.803,0,40.803,0
40.804,0,40.804,0
40.805,0,40.805,0
40.806,0,40.806,0
40.807,0,40.807,0
40.808,0,40.808,0
40.809,0,40.809,0
40.81,0,40.81,0
40.811,1,40.811,0
40.812,0,40.812,3
40.813,2,40.813,2
40.814,2,40.814,2
40.815,1,40.815,1
40.816,1,40.816,1
40.817,1,40.817,0
40.818,0,40.818,0
40.819,1,40.819,1
40.82,2,40.82,0
40.821,0,40.821,0
40.822,0,40.822,1
40.823,0,40.823,0
40.824,0,40.824,0
40.825,0,40.825,0
40.826,0,40.826,0
40.827,0,40.827,0
40.828,0,40.828,0
40.829,0,40.829,0
40.83,0,40.83,0
40.831,1,40.831,0
40.832,0,40.832,3
40.833,2,40.833,2
40.834,2,40.834,2
40.835,1,40.835,1
40.836,1,40.836,1
40.837,1,40.837,0
40.838,0,40.838,0
40.839,1,40.839,1
40.84,2,40.84,0
40.841,0,40.841,0
40.842,0,40.842,1
40.843,0,40.843,0
40.844,0,40.844,0
40.845,0,40.845,0
40.846,0,40.846,0
40.847,0,40.847,0
40.848,0,40.848,0
40.849,0,40.849,0
40.85,0,40.85,0
40.851,1,40.851,0
40.852,0,40.852,3
40.853,2,40.853,2
40.854,2,40.854,2
40.855,1,40.855,1
40.856,1,40.856,1
40.857,1,40.857,0
40.858,0,40.858,0
40.859,1,40.859,1
40.86,2,40.86,0
40.861,0,40.861,0
40.862,0,40.862,0
40.863,0,40.863,0
40.864,0,40.864,0
40.865,0,40.865,0
40.866,0,40.866,0
40.867,0,40.867,0
40.868,0,40.868,0
40.869,0,40.869,0
40.87,0,40.87,0
40.871,1,40.871,0
40.872,0,40.872,3
40.873,2,40.873,2
40.874,2,40.874,2
40.875,1,40.875,1
40.876,1,40.876,1
40.877,1,40.877,0
40.878,0,40.878,0
40.879,1,40.879,1
40.88,2,40.88,1
40.881,0,40.881,0
40.882,0,40.882,0
40.883,0,40.883,0
40.884,0,40.884,0
40.885,0,40.885,0
40.886,0,40.886,0
40.887,0,40.887,0
40.888,0,40.888,0
40.889,0,40.889,0
40.89,0,40.89,0
40.891,1,40.891,0
40.892,0,40.892,3
40.893,2,40.893,2
40.894,2,40.894,2
40.895,1,40.895,1
40.896,1,40.896,1
40.897,1,40.897,0
40.898,0,40.898,0
40.899,1,40.899,1
40.9,3,40.9,1
40.901,0,40.901,0
40.902,0,40.902,0
40.903,0,40.903,0
40.904,0,40.904,0
40.905,0,40.905,0
40.906,0,40.906,1
40.907,0,40.907,0
40.908,0,40.908,0
40.909,0,40.909,0
40.91,0,40.91,0
40.911,1,40.911,0
40.912,0,40.912,3
40.913,2,40.913,2
40.914,2,40.914,2
40.915,1,40.915,1
40.916,1,40.916,1
40.917,1,40.917,0
40.918,0,40.918,0
40.919,2,40.919,1
40.92,2,40.92,0
40.921,0,40.921,0
40.922,0,40.922,1
40.923,0,40.923,0
40.924,0,40.924,0
40.925,0,40.925,0
40.926,0,40.926,0
40.927,0,40.927,0
40.928,0,40.928,0
40.929,0,40.929,0
40.93,0,40.93,0
40.931,1,40.931,0
40.932,0,40.932,3
40.933,2,40.933,2
40.934,2,40.934,2
40.935,1,40.935,1
40.936,1,40.936,1
40.937,1,40.937,0
40.938,0,40.938,0
40.939,1,40.939,1
40.94,2,40.94,0
40.941,0,40.941,0
40.942,0,40.942,0
40.943,0,40.943,0
40.944,0,40.944,0
40.945,0,40.945,0
40.946,0,40.946,0
40.947,0,40.947,0
40.948,0,40.948,0
40.949,0,40.949,0
40.95,0,40.95,0
40.951,1,40.951,0
40.952,0,40.952,3
40.953,2,40.953,2
40.954,2,40.954,2
40.955,1,40.955,1
40.956,1,40.956,1
40.957,1,40.957,0
40.958,0,40.958,0
40.959,1,40.959,1
40.96,2,40.96,0
40.961,0,40.961,0
40.962,0,40.962,0
40.963,0,40.963,0
40.964,0,40.964,0
40.965,0,40.965,0
40.966,0,40.966,0
40.967,0,40.967,0
40.968,0,40.968,0
40.969,0,40.969,0
40.97,0,40.97,0
40.971,1,40.971,0
40.972,0,40.972,3
40.973,1,40.973,2
40.974,2,40.974,2
40.975,1,40.975,1
40.976,1,40.976,1
40.977,1,40.977,0
40.978,0,40.978,0
40.979,1,40.979,1
40.98,2,40.98,0
40.981,0,40.981,0
40.982,0,40.982,1
40.983,0,40.983,0
40.984,0,40.984,0
40.985,0,40.985,0
40.986,0,40.986,0
40.987,0,40.987,0
40.988,0,40.988,0
40.989,0,40.989,0
40.99,0,40.99,0
40.991,1,40.991,0
40.992,0,40.992,3
40.993,2,40.993,2
40.994,2,40.994,2
40.995,1,40.995,1
40.996,1,40.996,1
40.997,1,40.997,0
40.998,0,40.998,0
40.999,1,40.999,1
41,3,41,0
41.001,0,41.001,0
41.002,0,41.002,1
41.003,0,41.003,0
41.004,0,41.004,0
41.005,0,41.005,0
41.006,0,41.006,0
41.007,0,41.007,0
41.008,0,41.008,0
41.009,0,41.009,0
41.01,0,41.01,0
41.011,1,41.011,0
41.012,0,41.012,3
41.013,2,41.013,2
41.014,2,41.014,2
41.015,1,41.015,1
41.016,1,41.016,1
41.017,1,41.017,0
41.018,0,41.018,0
41.019,2,41.019,1
41.02,2,41.02,0
41.021,0,41.021,0
41.022,0,41.022,1
41.023,0,41.023,0
41.024,0,41.024,0
41.025,0,41.025,0
41.026,0,41.026,0
41.027,0,41.027,0
41.028,0,41.028,0
41.029,0,41.029,0
41.03,0,41.03,0
41.031,1,41.031,0
41.032,0,41.032,3
41.033,2,41.033,2
41.034,2,41.034,2
41.035,1,41.035,1
41.036,1,41.036,1
41.037,1,41.037,0
41.038,0,41.038,0
41.039,1,41.039,1
41.04,2,41.04,0
41.041,0,41.041,0
41.042,0,41.042,1
41.043,0,41.043,0
41.044,0,41.044,0
41.045,0,41.045,0
41.046,0,41.046,0
41.047,0,41.047,0
41.048,0,41.048,0
41.049,0,41.049,0
41.05,0,41.05,0
41.051,1,41.051,0
41.052,0,41.052,3
41.053,2,41.053,2
41.054,2,41.054,2
41.055,1,41.055,1
41.056,1,41.056,1
41.057,1,41.057,0
41.058,0,41.058,0
41.059,1,41.059,1
41.06,2,41.06,0
41.061,0,41.061,0
41.062,0,41.062,1
41.063,0,41.063,0
41.064,0,41.064,0
41.065,0,41.065,0
41.066,0,41.066,0
41.067,0,41.067,0
41.068,0,41.068,0
41.069,0,41.069,0
41.07,0,41.07,0
41.071,1,41.071,0
41.072,0,41.072,3
41.073,1,41.073,2
41.074,2,41.074,2
41.075,1,41.075,1
41.076,1,41.076,1
41.077,1,41.077,0
41.078,0,41.078,0
41.079,1,41.079,1
41.08,3,41.08,0
41.081,0,41.081,0
41.082,0,41.082,0
41.083,0,41.083,0
41.084,0,41.084,0
41.085,0,41.085,0
41.086,0,41.086,0
41.087,0,41.087,0
41.088,0,41.088,0
41.089,0,41.089,0
41.09,0,41.09,0
41.091,1,41.091,0
41.092,0,41.092,3
41.093,2,41.093,2
41.094,2,41.094,2
41.095,1,41.095,1
41.096,1,41.096,1
41.097,1,41.097,0
41.098,0,41.098,0
41.099,1,41.099,1
41.1,2,41.1,0
41.101,0,41.101,0
41.102,1,41.102,1
41.103,0,41.103,0
41.104,0,41.104,0
41.105,0,41.105,0
41.106,0,41.106,0
41.107,0,41.107,0
41.108,0,41.108,0
41.109,0,41.109,0
41.11,0,41.11,0
41.111,1,41.111,0
41.112,0,41.112,3
41.113,2,41.113,2
41.114,2,41.114,2
41.115,1,41.115,1
41.116,1,41.116,1
41.117,1,41.117,0
41.118,0,41.118,0
41.119,2,41.119,1
41.12,2,41.12,0
41.121,0,41.121,0
41.122,0,41.122,1
41.123,0,41.123,0
41.124,0,41.124,0
41.125,0,41.125,0
41.126,0,41.126,0
41.127,0,41.127,0
41.128,0,41.128,0
41.129,0,41.129,0
41.13,0,41.13,0
41.131,1,41.131,0
41.132,0,41.132,3
41.133,1,41.133,2
41.134,2,41.134,2
41.135,1,41.135,1
41.136,1,41.136,1
41.137,1,41.137,0
41.138,0,41.138,0
41.139,1,41.139,1
41.14,2,41.14,0
41.141,0,41.141,0
41.142,0,41.142,1
41.143,0,41.143,0
41.144,0,41.144,0
41.145,0,41.145,0
41.146,0,41.146,0
41.147,0,41.147,0
41.148,0,41.148,0
41.149,0,41.149,0
41.15,0,41.15,0
41.151,1,41.151,0
41.152,0,41.152,3
41.153,1,41.153,2
41.154,2,41.154,2
41.155,1,41.155,1
41.156,1,41.156,1
41.157,1,41.157,0
41.158,0,41.158,0
41.159,1,41.159,1
41.16,2,41.16,0
41.161,0,41.161,0
41.162,0,41.162,1
41.163,0,41.163,0
41.164,0,41.164,0
41.165,0,41.165,0
41.166,0,41.166,0
41.167,0,41.167,0
41.168,0,41.168,0
41.169,0,41.169,0
41.17,0,41.17,0
41.171,1,41.171,0
41.172,0,41.172,3
41.173,1,41.173,2
41.174,2,41.174,2
41.175,1,41.175,1
41.176,1,41.176,1
41.177,1,41.177,0
41.178,0,41.178,0
41.179,1,41.179,1
41.18,3,41.18,1
41.181,0,41.181,0
41.182,0,41.182,1
41.183,0,41.183,0
41.184,0,41.184,0
41.185,0,41.185,0
41.186,1,41.186,1
41.187,0,41.187,0
41.188,0,41.188,0
41.189,0,41.189,0
41.19,0,41.19,0
41.191,1,41.191,0
41.192,1,41.192,4
41.193,2,41.193,2
41.194,3,41.194,2
41.195,2,41.195,1
41.196,1,41.196,1
41.197,1,41.197,0
41.198,0,41.198,0
41.199,2,41.199,1
41.2,3,41.2,1
41.201,0,41.201,0
41.202,0,41.202,0
41.203,0,41.203,0
41.204,0,41.204,0
41.205,0,41.205,0
